#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
pibvt.net,suspend,false,false,"underage, inappropriate",false
pieville.net,suspend,false,false,"harassment, hate-speech, nazism",false
pisskey.io,suspend,false,false,"hate-speech, hate-associated",false
pkteerium.xyz,suspend,false,false,"alt-right, conspiracy",false
poa.st,suspend,false,false,"nazism, alt-right, hate-speech, racism",false
pone.social,suspend,false,false,"anti-lgbtq, hate-associated, racism, underage",false
poster.place,suspend,false,false,"anti-lgbtq, hate-speech, racism, alt-right, hate-associated, nazism",false
quanta.wiki,suspend,false,false,"hate-associated, alt-right, anti-lgbtq",false
rape.pet,suspend,false,false,"inappropriate, underage",false
rapemeat.solutions,suspend,false,false,"hate-speech, inappropriate, underage",false
rdrama.cc,suspend,false,false,"anti-lgbtq, harassment, hate-speech, racism",false
refusal.biz,suspend,false,false,"alt-right, hate-speech, inappropriate, underage",false
repl.co,suspend,false,false,"dos, spam",false
republic.red,suspend,false,false,"alt-right, fascism, anti-lgbtq, conspiracy, hate-speech",false
rojogato.com,suspend,false,false,"harassment, hate-speech",false
rot.gives,suspend,false,false,"underage, hate-speech, inappropriate",false
ryona.agency,suspend,false,false,"hate-speech, anti-lgbtq",false
schwartzwelt.xyz,suspend,false,false,"hate-associated, hate-speech",false
scots.network,suspend,false,false,"anti-lgbtq, hate-speech",false
seal.cafe,suspend,false,false,"racism, anti-lgbtq, harassment, alt-right, antisemitism, hate-associated, hate-speech",false
shitpost.cloud,suspend,false,false,"alt-right, harassment, hate-speech, racism",false
shitposter.club,suspend,false,false,"alt-right, harassment",false
shitposter.world,suspend,false,false,"alt-right, harassment",false
shortstacksran.ch,suspend,false,false,"hate-speech, racism, antisemitism, hate-associated",false
shota.house,suspend,false,false,"alt-right, underage, inappropriate",false
shrimpposter.club,suspend,false,false,"hate-associated, hate-speech, harassment",false
skinheads.social,suspend,false,false,"hate-associated, hate-speech, nazism",false
skippers-bin.com,suspend,false,false,"inappropriate, underage",false
sneed.social,suspend,false,false,"racism, antisemitism, fascism, hate-speech, anti-lgbtq",false
spinster.xyz,suspend,false,false,anti-lgbtq,false
springbo.cc,suspend,false,false,"alt-right, anti-lgbtq, racism, harassment",false
stereophonic.space,suspend,false,false,"hate-associated, alt-right, harassment",false
strelizia.net,suspend,false,false,"hate-speech, underage",false
supernets.social,suspend,false,false,"hate-speech, racism, alt-right",false
tastingtraffic.net,suspend,false,false,"anti-lgbtq, spam",false
teci.world,suspend,false,false,"hate-associated, alt-right",false
theblab.org,suspend,false,false,"hate-speech, racism",false
truthsocial.co.in,suspend,false,false,alt-right,false
usualsuspects.lol,suspend,false,false,"anti-lgbtq, harassment, hate-speech",false
varishangout.net,suspend,false,false,"anti-lgbtq, hate-speech, inappropriate, racism",false
whinge.town,suspend,false,false,"hate-associated, anti-lgbtq, racism",false
whitewomen.dog,suspend,false,false,"hate-associated, hate-speech, inappropriate, racism, underage",false
wideboys.org,suspend,false,false,"anti-lgbtq, harassment, hate-associated, racism",false
wolfgirl.bar,suspend,false,false,"harassment, hate-speech, antisemitism, racism",false
yggdrasil.social,suspend,false,false,"hate-speech, anti-lgbtq",false
youjo.love,suspend,false,false,"antisemitism, antivax, inappropriate, underage",false
zztails.gay,suspend,false,false,"alt-right, hate-speech, racism",false
